cl_number,sepal_length,sepal_width,petal_length,petal_width,dist
1,0.222222,0.625,0.0677966,0.0416667,0.128321
1,0.166667,0.416667,0.0677966,0.0416667,0.101245
1,0.111111,0.5,0.0508474,0.0416667,0.0552281
1,0.0833333,0.458333,0.0847458,0.0416667,0.0940841
1,0.194444,0.666667,0.0677966,0.0416667,0.156057
5,0.305556,0.791667,0.118644,0.125,0.0611842
1,0.0833333,0.583333,0.0677966,0.0833333,0.103288
1,0.194444,0.583333,0.0847458,0.0416667,0.0789743
1,0.0277778,0.375,0.0677966,0.0416667,0.191235
1,0.166667,0.458333,0.0847458,0,0.0806527
5,0.305556,0.708333,0.0847458,0.0416667,0.0815153
1,0.138889,0.583333,0.101695,0.0416667,0.0750145
1,0.138889,0.416667,0.0677966,0,0.114974
1,0,0.416667,0.0169492,0,0.201554
5,0.416667,0.833333,0.0338983,0.0416667,0.141582
5,0.388889,1,0.0847458,0.125,0.240283
5,0.305556,0.791667,0.0508474,0.125,0.0625113
1,0.222222,0.625,0.0677966,0.0833333,0.130925
5,0.388889,0.75,0.118644,0.0833333,0.100955
5,0.222222,0.75,0.0847458,0.0833333,0.0845032
1,0.305556,0.583333,0.118644,0.0416667,0.170034
5,0.222222,0.708333,0.0847458,0.125,0.118681
1,0.0833333,0.666667,0,0.0416667,0.183868
1,0.222222,0.541667,0.118644,0.166667,0.139612
1,0.138889,0.583333,0.152542,0.0416667,0.104144
1,0.194444,0.416667,0.101695,0.0416667,0.110583
1,0.194444,0.583333,0.101695,0.125,0.107935
1,0.25,0.625,0.0847458,0.0416667,0.144708
1,0.25,0.583333,0.0677966,0.0416667,0.116594
1,0.111111,0.5,0.101695,0.0416667,0.0556599
1,0.138889,0.458333,0.101695,0.0416667,0.0668563
1,0.305556,0.583333,0.0847458,0.125,0.178825
5,0.25,0.875,0.0847458,0,0.128492
5,0.333333,0.916667,0.0677966,0.0416667,0.143095
1,0.166667,0.458333,0.0847458,0,0.0806527
1,0.194444,0.5,0.0338983,0.0416667,0.0605712
5,0.333333,0.625,0.0508474,0.0416667,0.168296
1,0.166667,0.458333,0.0847458,0,0.0806527
1,0.0277778,0.416667,0.0508474,0.0416667,0.164616
1,0.222222,0.583333,0.0847458,0.0416667,0.0956655
1,0.194444,0.625,0.0508474,0.0833333,0.121593
1,0.0555555,0.125,0.0508474,0.0833333,0.405663
1,0.0277778,0.5,0.0508474,0.0416667,0.132111
1,0.194444,0.625,0.101695,0.208333,0.194143
5,0.222222,0.75,0.152542,0.125,0.118546
1,0.138889,0.416667,0.0677966,0.0833333,0.105343
5,0.222222,0.75,0.101695,0.0416667,0.0915373
1,0.0833333,0.5,0.0677966,0.0416667,0.0758251
5,0.277778,0.708333,0.0847458,0.0416667,0.0841764
1,0.194444,0.541667,0.0677966,0.0416667,0.0486102
3,0.75,0.5,0.627119,0.541667,0.263759
3,0.583333,0.5,0.59322,0.583333,0.162275
3,0.722222,0.458333,0.661017,0.583333,0.204114
2,0.333333,0.125,0.508475,0.5,0.126915
3,0.611111,0.333333,0.610169,0.583333,0.116985
