cl_number,sepal_length,sepal_width,petal_length,petal_width,dist
4,0.222222,0.625,0.0677966,0.0416667,0.0479889
4,0.166667,0.416667,0.0677966,0.0416667,0.177918
4,0.111111,0.5,0.0508474,0.0416667,0.128781
4,0.0833333,0.458333,0.0847458,0.0416667,0.175067
4,0.194444,0.666667,0.0677966,0.0416667,0.0787861
4,0.305556,0.791667,0.118644,0.125,0.241116
4,0.0833333,0.583333,0.0677966,0.0833333,0.115919
4,0.194444,0.583333,0.0847458,0.0416667,0.0207935
4,0.0277778,0.375,0.0677966,0.0416667,0.274543
4,0.166667,0.458333,0.0847458,0,0.148528
4,0.305556,0.708333,0.0847458,0.0416667,0.161733
4,0.138889,0.583333,0.101695,0.0416667,0.0647926
4,0.138889,0.416667,0.0677966,0,0.1932
4,0,0.416667,0.0169492,0,0.276043
4,0.416667,0.833333,0.0338983,0.0416667,0.331345
4,0.388889,1,0.0847458,0.125,0.456993
4,0.305556,0.791667,0.0508474,0.125,0.239395
4,0.222222,0.625,0.0677966,0.0833333,0.0501125
4,0.388889,0.75,0.118644,0.0833333,0.254247
4,0.222222,0.75,0.0847458,0.0833333,0.163087
4,0.305556,0.583333,0.118644,0.0416667,0.118197
4,0.222222,0.708333,0.0847458,0.125,0.136932
4,0.0833333,0.666667,0,0.0416667,0.158084
4,0.222222,0.541667,0.118644,0.166667,0.126795
4,0.138889,0.583333,0.152542,0.0416667,0.095539
4,0.194444,0.416667,0.101695,0.0416667,0.176647
4,0.194444,0.583333,0.101695,0.125,0.0693929
4,0.25,0.625,0.0847458,0.0416667,0.0666687
4,0.25,0.583333,0.0677966,0.0416667,0.0584297
4,0.111111,0.5,0.101695,0.0416667,0.12784
4,0.138889,0.458333,0.101695,0.0416667,0.147303
4,0.305556,0.583333,0.0847458,0.125,0.127658
4,0.25,0.875,0.0847458,0,0.295452
4,0.333333,0.916667,0.0677966,0.0416667,0.354191
4,0.166667,0.458333,0.0847458,0,0.148528
4,0.194444,0.5,0.0338983,0.0416667,0.102916
4,0.333333,0.625,0.0508474,0.0416667,0.145279
4,0.166667,0.458333,0.0847458,0,0.148528
4,0.0277778,0.416667,0.0508474,0.0416667,0.244497
4,0.222222,0.583333,0.0847458,0.0416667,0.0333374
4,0.194444,0.625,0.0508474,0.0833333,0.0498722
4,0.0555555,0.125,0.0508474,0.0833333,0.487928
4,0.0277778,0.5,0.0508474,0.0416667,0.194153
4,0.194444,0.625,0.101695,0.208333,0.153962
4,0.222222,0.75,0.152542,0.125,0.188949
4,0.138889,0.416667,0.0677966,0.0833333,0.185123
4,0.222222,0.75,0.101695,0.0416667,0.163961
4,0.0833333,0.5,0.0677966,0.0416667,0.146367
4,0.277778,0.708333,0.0847458,0.0416667,0.144392
4,0.194444,0.541667,0.0677966,0.0416667,0.0536089
1,0.75,0.5,0.627119,0.541667,0.264453
1,0.583333,0.5,0.59322,0.583333,0.157484
1,0.722222,0.458333,0.661017,0.583333,0.207341
3,0.333333,0.125,0.508475,0.5,0.117958
1,0.611111,0.333333,0.610169,0.583333,0.110174
3,0.388889,0.333333,0.59322,0.5,0.135042
1,0.555556,0.541667,0.627119,0.625,0.170654
3,0.166667,0.166667,0.38983,0.375,0.253787
1,0.638889,0.375,0.610169,0.5,0.178134
3,0.25,0.291667,0.491525,0.541667,0.139818
3,0.194444,0,0.423729,0.375,0.31457
1,0.444444,0.416667,0.542373,0.583333,0.166304
3,0.472222,0.0833334,0.508475,0.375,0.215255
1,0.5,0.375,0.627119,0.541667,0.112444
3,0.361111,0.375,0.440678,0.5,0.156683
